round_epochs,loss,accuracy,val_loss,val_accuracy,units,hidden_activations,activation,loss,optimizer,batch_size
200,0.005590485,0.543560028,0.010582892,0.204600006,120,relu,softmax,mse,adam,1000
200,0.005830839,0.523679972,0.010277661,0.209000006,120,relu,softmax,mse,adam,2000
200,0.009901933,0.00996,0.009902063,0.0097,120,relu,softmax,mse,adagrad,1000
200,0.009901064,0.01054,0.009900858,0.0109,120,relu,softmax,mse,adagrad,2000
200,1.484660506,0.598999977,5.479211807,0.198300004,120,relu,softmax,categorical_crossentropy,adam,1000
200,1.757845163,0.537039995,4.447177887,0.213599995,120,relu,softmax,categorical_crossentropy,adam,2000
200,3.897962093,0.101580001,3.921453238,0.099600002,120,relu,softmax,categorical_crossentropy,adagrad,1000
200,4.145232201,0.0722,4.155474186,0.072700001,120,relu,softmax,categorical_crossentropy,adagrad,2000
200,0.009999917,0.01004,0.01000004,0.0106,120,relu,sigmoid,mse,adam,1000
200,0.009999292,0.01,0.009999535,0.01,120,relu,sigmoid,mse,adam,2000
200,0.010351665,0.01002,0.010332417,0.0101,120,relu,sigmoid,mse,adagrad,1000
200,0.011128404,0.01026,0.011089904,0.0101,120,relu,sigmoid,mse,adagrad,2000
200,1.403784394,0.61650002,5.702358723,0.198899999,120,relu,sigmoid,categorical_crossentropy,adam,1000
200,1.776837707,0.531899989,4.472790718,0.214499995,120,relu,sigmoid,categorical_crossentropy,adam,2000
200,3.858747721,0.10994,3.88676095,0.106799997,120,relu,sigmoid,categorical_crossentropy,adagrad,1000
200,4.131570816,0.070200004,4.142352581,0.068599999,120,relu,sigmoid,categorical_crossentropy,adagrad,2000
200,0.008970448,0.161939994,0.009664447,0.102799997,120,sigmoid,softmax,mse,adam,1000
200,0.009126,0.142780006,0.009628781,0.094099998,120,sigmoid,softmax,mse,adam,2000
200,0.009938506,0.01,0.009938505,0.01,120,sigmoid,softmax,mse,adagrad,1000
200,0.009921523,0.01,0.009921524,0.01,120,sigmoid,softmax,mse,adagrad,2000
200,2.883593798,0.260100007,3.950603485,0.140400007,120,sigmoid,softmax,categorical_crossentropy,adam,1000
200,3.181477547,0.193020001,4.029467106,0.112000003,120,sigmoid,softmax,categorical_crossentropy,adam,2000
200,4.605196476,0.00978,4.605161667,0.0105,120,sigmoid,softmax,categorical_crossentropy,adagrad,1000
200,4.605216026,0.01,4.605197906,0.01,120,sigmoid,softmax,categorical_crossentropy,adagrad,2000
200,0.009900914,0.01026,0.009900505,0.01,120,sigmoid,sigmoid,mse,adam,1000
200,0.009900051,0.00936,0.009900003,0.01,120,sigmoid,sigmoid,mse,adam,2000
200,0.045002274,0.01,0.044877,0.01,120,sigmoid,sigmoid,mse,adagrad,1000
200,0.106603086,0.01,0.106349893,0.01,120,sigmoid,sigmoid,mse,adagrad,2000
200,2.95700407,0.249640003,3.980320215,0.131200001,120,sigmoid,sigmoid,categorical_crossentropy,adam,1000
200,3.134153843,0.201879993,4.066006184,0.107100002,120,sigmoid,sigmoid,categorical_crossentropy,adam,2000
200,4.60521698,0.00662,4.605179787,0.0092,120,sigmoid,sigmoid,categorical_crossentropy,adagrad,1000
200,4.605234146,0.01,4.605211735,0.01,120,sigmoid,sigmoid,categorical_crossentropy,adagrad,2000
200,0.00451041,0.635839999,0.011100392,0.194800004,240,relu,softmax,mse,adam,1000
200,0.004372809,0.644060016,0.011068857,0.197899997,240,relu,softmax,mse,adam,2000
200,0.009903016,0.00802,0.009902902,0.008,240,relu,softmax,mse,adagrad,1000
200,0.009902448,0.0102,0.009902352,0.0095,240,relu,softmax,mse,adagrad,2000
200,0.661658883,0.801840007,10.63892555,0.195600003,240,relu,softmax,categorical_crossentropy,adam,1000
200,0.780038774,0.782920003,8.568357468,0.202199996,240,relu,softmax,categorical_crossentropy,adam,2000
200,3.748378754,0.132139996,3.787014008,0.127700001,240,relu,softmax,categorical_crossentropy,adagrad,1000
200,4.018222332,0.0876,4.033249378,0.084200002,240,relu,softmax,categorical_crossentropy,adagrad,2000
200,0.009999998,0.01002,0.010000001,0.01,240,relu,sigmoid,mse,adam,1000
200,0.009999663,0.01,0.010000077,0.01,240,relu,sigmoid,mse,adam,2000
200,0.020018809,0.01,0.020002935,0.01,240,relu,sigmoid,mse,adagrad,1000
200,0.010712966,0.00758,0.010677827,0.008,240,relu,sigmoid,mse,adagrad,2000
200,0.628212512,0.812460005,11.16486645,0.188700005,240,relu,sigmoid,categorical_crossentropy,adam,1000
